SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,26 Jennifer Pl,San Francisco,CA,94107,1099000,3,2.0,San Francisco,1484,17082,2000,3,741,129,Active,,,https://www.redfin.com/CA/San-Francisco/26-Jennifer-Pl-94107/home/12397298,San Francisco MLS,423726346,N,Y,37.7800355,-122.4023889
MLS Listing,,Condo/Co-op,152 Lombard St #507,San Francisco,CA,94111,1099000,2,2.0,San Francisco,1206,94533,1975,12,911,1285,Active,March-18-2023 02:00 PM,March-18-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/152-Lombard-St-94111/unit-507/home/1330360,San Francisco MLS,423723570,N,Y,37.8043962,-122.4041505
MLS Listing,,Single Family Residential,45 Ney St,San Francisco,CA,94112,998000,3,2.0,San Francisco,1250,2495,1918,30,798,,Active,,,https://www.redfin.com/CA/San-Francisco/45-Ney-St-94112/home/1371342,San Francisco MLS,423720117,N,Y,37.7301531,-122.4292632
MLS Listing,,Condo/Co-op,1 Hawthorne St Unit 15B,San Francisco,CA,94105,630000,1,1.0,San Francisco,558,,2010,30,1129,849,Active,,,https://www.redfin.com/CA/San-Francisco/1-Hawthorne-St-94105/unit-15B/home/40399186,San Francisco MLS,423720184,N,Y,37.7857425,-122.3988969
MLS Listing,,Condo/Co-op,250 King St #812,San Francisco,CA,94107,724900,1,1.0,Mission Bay,888,213232,2004,31,816,862,Active,,,https://www.redfin.com/CA/San-Francisco/250-King-St-94107/unit-812/home/22889822,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41017452,N,Y,37.7781222,-122.3932903
MLS Listing,,Condo/Co-op,1075 Market St #211,San Francisco,CA,94103,529000,0,1.0,Market,423,,2018,1,1251,626,Active,,,https://www.redfin.com/CA/San-Francisco/1075-Market-St-94103/unit-211/home/146122166,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41021353,N,Y,37.7805902,-122.4115465
MLS Listing,,Single Family Residential,167 Delano Ave,San Francisco,CA,94112,1299950,3,2.0,San Francisco,1198,5375,1925,1,1085,,Active,March-19-2023 02:00 PM,March-19-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/167-Delano-Ave-94112/home/698641,San Francisco MLS,423713600,N,Y,37.725604,-122.4409172
MLS Listing,,Multi-Family (5+ Unit),1175 Pine St,San Francisco,CA,94109,2300000,0,,San Francisco,6314,2186,1913,1,364,,Active,,,https://www.redfin.com/CA/San-Francisco/1175-Pine-St-94109/home/1425649,San Francisco MLS,423726844,N,Y,37.790153,-122.4151872
MLS Listing,,Multi-Family (2-4 Unit),25 - 27 Blanken Ave,San Francisco,CA,94134,1350000,4,3.5,San Francisco,3200,1875,1932,1,422,,Active,,,https://www.redfin.com/CA/San-Francisco/25-Blanken-Ave-94134/home/744492,San Francisco MLS,423726002,N,Y,37.7122465,-122.4009421
MLS Listing,,Condo/Co-op,1298 Treat Ave,San Francisco,CA,94110,1250000,4,2.0,San Francisco,1250,4874,1900,1,1000,360,Active,March-14-2023 02:00 PM,March-14-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/1298-Treat-Ave-94110/home/12311600,San Francisco MLS,422669406,N,Y,37.7493778,-122.4127122
